sqrt(dd),g_t,g_mn,sqrt(p),yj(mn),cs(s),log(mn_s),yj(s_h),yj(cs),asinh(mcwf),asinh(m_l),yj(mcwd_t),yj(sczfr),yj(m_f),yj(h_e)
1.665847783,1,2,0.8678006488,-0.5637248357,-0.6566382509,0.1095170208,0.01630180396,1.09827597,-0.6405638497,0.154540679,0.7219974187,0.6619829326,0.005789268885,0.220934632
1.290360128,1,2,1.147992294,-0.7676569277,-0.6566382509,0.0846768763,-0.3271758781,0.5534090898,-0.5865702137,0.2490722937,0.3223485902,0.1974677765,-0.04842676605,0.1870216399
1.665847783,1,2,1.147992294,-0.8114934756,0.2557633826,-0.1433108641,-0.8778895973,-0.7406497494,-0.6475829503,0.1925638854,-0.1050248255,-0.5636216065,-0.03310951191,0.3844814011
1.580361965,1,2,0.4339004759,-0.758945034,0.4382437093,-0.1803701083,-0.7834452875,-0.9109206493,-0.547724425,0.2584196192,-0.2936378777,-0.6855914372,-0.07199723924,0.3337767713
1.824844822,1,2,1.062834353,-0.6305004561,0.4382437093,-0.158851319,0.1797086051,-1.251462449,-0.5721602159,0.2177640474,0.05200729805,-0.8113655855,-0.01343804024,0.722907906
1.899358712,1,2,1.301700889,-1.000601738,0.4382437093,-0.2220138416,0.5632784819,-1.047137369,-0.5392421525,0.1767512432,0.05200729805,-0.7189145555,-0.02732245993,0.6338914283
1.899358712,1,2,1.564449741,-1.11223902,0.07328305594,-0.1443369055,-1.069717462,0.6215174498,-0.4726263313,0.1704137039,-0.1120931139,0.2916896509,-0.01160606593,-0.07164594779
1.580361965,1,2,1.439084465,-0.9276150983,0.4382437093,-0.2092533254,0.5632784819,0.6896258097,-0.5055076706,0.2240434676,0.1898891725,0.3427560847,-0.009075495862,0.0776736059
1.665847783,1,2,1.227255375,-0.4981659009,0.8032043627,-0.2252634265,-3.280649377,0.8258425297,-0.5431511197,0.2397035973,0.3297580986,0.1626110777,-0.2144414852,0.1089878865
1.747155897,1,2,1.564449741,-0.8557899986,-0.6566382509,0.07389229516,1.763899398,-1.047137369,-0.5233951058,0.07146323343,-0.07669013231,-0.6857764035,0.01392961205,0.5462838128
1.580361965,1,2,1.439084465,-1.150022179,0.4382437093,-0.2487179287,-0.3271758781,1.472871949,-0.5542970487,0.2303142106,0.1898891725,0.5692762074,-0.2370155898,-0.153100236
1.899358712,1,2,0.7515374362,-0.77638732,-1.386559558,0.2668105572,-0.3271758781,-0.7065955695,-0.5387023926,0.2146211495,0.1679837081,-0.5221714553,-0.00672251029,0.5649579102
1.747155897,1,3,1.623506218,0.9519296464,0.6207240361,0.07780566661,-1.364418188,-0.3319995897,-0.5405909246,0.2365760666,-0.1050248255,-0.3470160323,-0.04258497206,0.2406091377
1.290360128,1,2,0.8678006488,-0.9276150983,0.07328305594,-0.1157642186,-0.5976440806,-0.6044330295,-0.5103015705,0.1925638854,0.2485447831,-0.4575249379,0.002808351696,0.5779195924
1.290360128,1,2,1.301700889,-1.019028776,0.8032043627,-0.3265291089,-1.167047502,1.234492689,-0.5109855341,0.1988758621,0.2411938227,0.337722909,-0.2823940182,-0.05646463651
1.393748239,1,2,1.680488586,-0.9276150983,-1.569039885,0.3007066088,1.386415255,-1.523895889,-0.801689689,0.07787859676,0.06642459992,-0.9590440621,-0.03304670648,0.8329850809
1.290360128,1,3,1.372113206,0.9925885885,0.4382437093,0.117491069,-0.6900195262,0.8939508896,-0.7940289538,0.205180028,0.1315857012,0.1218685177,-0.278327151,-0.04743646861
1.489979546,1,3,0.7515374362,0.9925885885,-0.8391185777,0.3556403611,0.1797086051,1.336655229,-0.7622823356,0.2397035973,0.3445928338,0.1028499969,-0.4931538409,-0.05728516741
1.053574616,1,3,1.623506218,0.9642100949,-0.8391185777,0.3513892337,0.6364430592,1.575034489,-0.731813914,0.2924997186,0.5468646966,0.07239309782,-0.6141887765,-0.01805747556
1.580361965,1,3,1.147992294,1.334671238,0.98568469,0.09172063142,-0.3271758781,0.5193549098,-0.7227046166,0.1799173954,-0.04113467385,0.1161525254,-0.09495162018,-0.02479747409
1.393748239,1,3,1.503074697,1.087107005,-0.2916775976,0.2648251575,0.5632784819,0.17881311,-0.7124409158,0.2739492034,-0.1964241689,-0.0517647084,-0.05237385655,-0.0101644085
1.580361965,1,3,1.147992294,0.9313006735,-0.8391185777,0.3464792956,-0.2393732388,0.1107047501,-0.6920910177,0.2334462624,0.06642459992,-0.08217640402,-0.04154162561,0.1743758506
1.747155897,1,2,0.6136277952,-1.019028776,-0.1091972708,-0.08342037228,1.386415255,-1.592004249,-0.7412329542,0.135442269,0.3001516566,-0.9891735482,-0.0296571385,1.045266803
2.040238541,1,3,1.147992294,1.032480389,-0.4741579242,0.2901958168,1.450614808,-1.557950069,-0.7763553263,0.1513613081,0.3075453562,-0.9679701085,-0.02258417068,1.027197099
1.290360128,1,4,0.9702305978,1.494504748,0.8032043627,0.1525081284,-0.3271758781,1.302601049,-0.7751776462,0.2083291129,0.09532818167,0.2611932957,-0.3665715438,-0.1796010746
1.971057688,1,3,1.564449741,0.8681543281,-0.8391185777,0.3371208137,-0.1528235363,-0.7747039294,-0.7259899043,0.2365760666,0.03761315929,-0.5922417645,-0.04528299309,0.4840807781
1.971057688,1,3,1.301700889,0.9519296464,0.8032043627,0.04578719395,1.386415255,-1.626058429,-0.7699851309,0.01684050293,0.1315857012,-0.8984241294,0.1243479258,0.936983707
1.489979546,1,3,0.4339004759,1.094798989,0.4382437093,0.1363356382,-2.400350139,1.234492689,-0.7402694581,0.2209048289,0.5847210598,0.1405069933,-0.4215357026,0.09775089436
2.040238541,1,3,1.623506218,1.362085687,-0.4741579242,0.3433821547,0.3370611523,1.302601049,-0.7216080343,0.2677449081,0.4565117857,0.04662923743,-0.5190704719,0.01445144441
1.747155897,1,3,1.503074697,0.9723573289,-0.4741579242,0.2806618945,-0.1528235363,1.609088669,-0.7321772139,0.2553062599,0.6226985411,-0.0422415372,-0.7087475695,0.009829464924
2.171999791,1,3,1.503074697,1.110101582,0.8032043627,0.07690570562,0.3370611523,1.06422179,-0.7612127781,0.2303142106,0.4565117857,-0.0635148048,-0.4979786491,0.07994502842
2.355864549,1,3,1.623506218,0.9764191422,0.4382437093,0.1145179321,2.183975233,-1.421733349,-0.7873815078,0.08429076296,0.2485447831,-0.896852658,-0.01526154473,0.9139736432
1.971057688,1,3,1.372113206,0.9764191422,-0.8391185777,0.3532162432,0.4136715804,0.9280050696,-0.7455614574,0.138628934,0.7604001946,-0.1235750801,-0.484534189,0.2824889449
1.393748239,1,3,1.789016709,1.024561663,0.07328305594,0.1879519705,0.5632784819,-0.5363246696,-0.7722294982,0.2177640474,0.3223485902,-0.4543578241,-0.03494802125,0.5635017547
1.971057688,1,3,0.7515374362,0.9313006735,-0.6566382509,0.3098278136,-0.2393732388,-1.013083189,-0.7562117909,0.2397035973,0.2632628591,-0.7187313019,-0.04870737787,0.7335115071
1.899358712,1,2,1.564449741,-1.019028776,-0.1091972708,-0.08342037228,0.3370611523,0.17881311,-0.8196428035,0.1704137039,0.44901483,-0.1204794982,-0.1131054552,0.3588167408
1.971057688,1,2,0.8678006488,-0.7242828528,0.4382437093,-0.1745267109,-0.7834452875,0.3490840099,-0.7039614751,0.2114761624,0.1972020167,-0.1685206432,-0.2451458589,0.1698580607
1.899358712,1,2,1.680488586,-0.6220873565,-0.4741579242,0.05916246395,0.4136715804,0.5193549098,-0.7206326703,0.09390245263,0.6913590203,-0.03633164901,-0.2190524332,0.3863259959
1.747155897,1,2,1.227255375,-1.019028776,0.07328305594,-0.1298156259,-1.976721157,0.28097565,-0.7477212763,0.242828829,0.08809370349,-0.09671023093,-0.1468737073,0.1236841531
2.107149306,1,3,1.227255375,0.8681543281,2.08056665,-0.2021666462,0.4136715804,1.200438509,-0.6820091684,0.2615305297,0.668429533,-0.006615874168,-0.5143158316,0.1573462846
2.107149306,1,2,1.062834353,-0.7939035207,-0.1091972708,-0.05104431043,0.7086106301,0.9620592496,-0.6638100009,0.1988758621,0.5771400548,-0.07791464173,-0.4636950272,0.1858252343
2.107149306,1,2,0.8678006488,-0.8380163501,1.168165016,-0.3939562172,-0.5063531614,-0.5703788495,-0.6404359708,1.625541864,0.1098142101,-0.4675995308,-0.02892281241,0.4591222238
1.290360128,1,3,1.439084465,0.7447815861,0.98568469,-0.02822097599,0.7086106301,-1.728220969,-0.5742822311,1.613283751,-0.3827277226,-1.044045165,-0.01570559231,0.6237076901
1.747155897,1,2,1.564449741,-0.77638732,1.350645343,-0.4344570226,-0.1528235363,0.28097565,-0.5087960762,1.648455794,0.1606929575,0.0210580236,-0.04564142785,0.1928773688
1.747155897,1,2,0.9702305978,-0.891556754,1.53312567,-0.5251638399,-1.167047502,-0.05956614983,-0.5113958066,1.63524922,0.2632628591,-0.1867347116,-0.04177427779,0.3737005432
1.824844822,1,2,2.376569713,-1.037527675,0.07328305594,-0.1326812981,-0.2393732388,-0.1617286898,-0.5823510036,1.625541864,0.3371728508,-0.2343282539,-0.02892281241,0.4485215152
1.177932241,1,3,1.503074697,0.9104653466,-0.1091972708,0.2018607297,1.577412132,-1.421733349,-0.5632489892,1.553740383,-0.321173639,-0.8847831443,0.001304163411,0.5295049657
1.290360128,1,3,1.623506218,0.9437024911,1.53312567,-0.08395852022,-0.3271758781,1.813413749,-0.6282453437,1.623101332,0.5166677222,0.4688837122,-0.4500415124,-0.08646948749
1.580361965,1,3,1.439084465,0.7583680942,-0.2916775976,0.2116824207,1.702207348,-0.4001079496,-0.5841980599,1.612050267,0.3892218724,-0.3631586903,-0.01916730896,0.5737915775
2.107149306,1,3,1.840883003,0.9313006735,-0.2916775976,0.2394019359,0.1797086051,-0.4341621296,-0.5632489892,1.647261862,0.2632628591,-0.417910845,-0.05654095679,0.5116139224
1.824844822,1,3,2.035172725,0.9104653466,-0.6566382509,0.3066448497,-1.666926882,-1.013083189,-0.5580431001,1.647261862,0.1972020167,-0.7145138785,-0.04348121527,0.7154808688
2.040238541,1,3,1.840883003,0.9271502821,0.98568469,0.008831733145,0.2591132892,-0.9449748293,-0.6137662337,1.625541864,0.1315857012,-0.6420399791,0.002066322703,0.633822358
2.107149306,1,3,1.503074697,1.228823319,0.8032043627,0.1002886148,0.4136715804,-1.081191549,-0.5841980599,1.634040563,0.06642459992,-0.7249566795,-0.01306972074,0.6535322908
1.177932241,1,2,1.372113206,-0.6643409737,0.2557633826,-0.1199928112,2.125133429,-1.592004249,-0.9018074494,1.594632453,0.4190775946,-0.9828586924,-0.02059620939,1.103548356
1.393748239,1,2,1.372113206,-0.4578146111,-0.4741579242,0.08005528904,0.9884525876,-0.2298370497,-0.8805814285,1.61574651,0.6760679791,-0.2746693531,-0.02913078563,0.6369718719
1.747155897,1,2,0.8678006488,-0.4578146111,0.6207240361,-0.1736569432,-2.835244983,-0.2979454097,-0.9144970265,1.659141997,0.2338482656,-0.3202673411,-0.035207131,0.3944212486
1.899358712,1,2,1.680488586,-0.6984814546,-0.1091972708,-0.03752936708,1.190335127,-1.251462449,-0.8904179214,1.57181974,0.2559011331,-0.7850089278,0.02114937275,0.8196045778
1.899358712,1,2,1.735601145,-0.6473831341,0.2557633826,-0.1173300365,0.850195036,-0.09362032981,-0.872772966,1.631619181,0.5771400548,-0.1834906441,-0.01928755098,0.5265975176
1.971057688,1,2,0.7515374362,-0.9276150983,0.07328305594,-0.1157642186,-0.5063531614,1.404763589,-0.8931381258,1.659141997,0.2853801577,0.312143686,-0.3770158473,-0.1217422494
1.290360128,1,2,0.9702305978,-1.150022179,-0.6566382509,0.03746358885,0.4890475053,1.302601049,-0.8156336338,1.620655278,0.2485447831,0.473803295,-0.2211686443,-0.1036375579
1.177932241,1,2,1.062834353,-0.6220873565,-1.204079231,0.2360322193,-0.4161837325,1.302601049,-0.8985627494,1.620655278,0.5847210598,0.3900940013,-0.2778378231,0.05831652811
1.290360128,1,2,1.147992294,-0.8114934756,-0.6566382509,0.07931806077,0.01630180396,1.336655229,-0.8660298848,1.636456525,0.6455426145,0.4163805055,-0.2756673137,0.0830277081
1.393748239,1,2,0.9702305978,-0.9730962361,0.07328305594,-0.1227330965,0.5632784819,1.370709409,-0.8658082601,1.648455794,0.4865498432,0.3462827374,-0.3386182464,-0.006637124902
1.580361965,1,2,1.439084465,-0.6473831341,0.2557633826,-0.1173300365,-0.3271758781,0.1107047501,-0.05401615883,1.647261862,0.4265542916,-0.08240053957,-0.04174178104,0.4554291573
1.971057688,1,2,0.9702305978,-0.9914152121,2.263046977,-0.8974512421,0.2591132892,0.4512465499,-0.09359047061,1.636456525,0.3668840413,0.1553889804,-0.02718175593,0.2956912294
1.290360128,1,2,1.623506218,-1.000601738,1.53312567,-0.5575754322,-0.4161837325,1.370709409,-0.0942078209,1.623101332,0.5847210598,0.4538971074,-0.2660978383,0.1217630508
1.824844822,1,2,0.8678006488,-1.140549766,-0.2916775976,-0.05436402872,-1.464414434,0.9961134296,-0.09590534891,1.640070351,0.3223485902,0.309644044,-0.1890931196,0.0950932061
1.747155897,1,3,1.623506218,1.071640438,0.4382437093,0.1320589015,2.974124652,-1.319570809,0.02826861461,1.604619723,0.4116059921,-0.8355840948,-0.0005072174932,1.080061673
1.580361965,1,3,1.564449741,0.9764191422,0.6207240361,0.08245563547,0.7086106301,1.166384329,0.01401022174,1.629192356,0.4940718583,0.374090084,-0.2252372548,0.1454275368
1.489979546,1,2,1.062834353,-0.9095495535,1.350645343,-0.4685330071,-0.2393732388,1.302601049,-0.0942078209,1.650839693,-0.04113467385,0.338225967,-0.3133159396,-0.1911968879
1.393748239,1,3,1.503074697,1.071640438,0.07328305594,0.1961194487,-1.167047502,1.438817769,-0.007691830503,0.5120482401,0.3371728508,0.4800246675,-0.2798507608,-0.01858590826
1.665847783,1,2,1.147992294,-0.5886237294,0.8032043627,-0.2421471726,0.1797086051,1.03016761,0.008429915154,0.5233640974,0.352018035,0.481321792,-0.08407530351,0.1101575371
1.290360128,1,2,0.8678006488,-1.11223902,-1.021598904,0.135625767,0.7798428955,1.404763589,-0.01451220984,0.4978181156,0.7143308045,0.5000387288,-0.2510734449,0.1850016807
1.393748239,1,3,1.301700889,0.9104653466,-0.2916775976,0.2360322193,0.6364430592,1.06422179,0.04081754107,0.5120482401,0.6837111449,0.4784685755,-0.103047878,0.2798404142
1.290360128,1,3,0.8678006488,0.9104653466,-1.021598904,0.3813067004,-0.2393732388,1.575034489,0.02222482955,0.5120482401,0.3297580986,0.413821841,-0.3838730757,-0.05765672442
1.747155897,1,3,1.372113206,0.9519296464,-0.6566382509,0.3129876192,-0.3271758781,1.200438509,0.0403528684,0.5092097721,0.4340360712,0.4428166479,-0.1939437433,0.105689855
1.580361965,1,3,1.147992294,1.090956413,-0.1091972708,0.2321488247,0.7086106301,1.506926129,-0.03744670121,0.5899614545,0.822083946,0.4302216403,-0.3432236484,0.2064445009
1.747155897,1,3,1.840883003,1.110101582,-1.204079231,0.4491579349,2.300592444,-1.455787529,0.03942349703,0.4016043505,0.1972020167,-0.9151464528,-0.01761078276,0.9985414755
1.393748239,1,3,1.439084465,1.032480389,0.6207240361,0.09311577641,-0.06757920993,1.472871949,0.01509523611,0.5120482401,0.2265081257,0.3199018134,-0.401700526,-0.08423168895
1.580361965,1,2,1.680488586,-0.9639638228,-0.4741579242,0.01528153528,-0.3271758781,1.234492689,-0.008001857906,0.4748551927,0.8685375506,0.2589706052,-0.3373622154,0.3167250937
1.489979546,1,3,1.503074697,0.9925885885,0.6207240361,0.08552818361,-0.5976440806,1.03016761,-0.02536129364,0.5233640974,1.087424035,0.257242674,-0.2433462337,0.4941966311
2.040238541,1,3,1.789016709,1.071640438,-0.6566382509,0.3314783673,-1.265288695,1.677197029,-0.01792216621,0.4949607961,0.9229372113,0.2621815422,-0.5269463793,0.2072896106
1.899358712,1,3,1.735601145,1.110101582,1.53312567,-0.0460809878,-0.7834452875,0.7917883497,0.005639652561,0.5148829141,0.4190775946,0.1525039956,-0.2053447918,0.2213280836
1.393748239,1,2,1.147992294,-0.6643409737,-1.386559558,0.2783607279,-2.400350139,1.472871949,0.01292519088,0.5402230639,0.2411938227,0.2710863873,-0.4347121293,-0.07667249529
1.580361965,1,2,1.503074697,-0.605317745,-0.4741579242,0.06129756033,-0.9733228674,1.200438509,0.04887038155,0.543019412,0.637923149,0.2599583199,-0.3211036656,0.2137589815
1.053574616,1,3,1.062834353,0.6421791723,0.4382437093,0.05377834386,0.09875510344,1.506926129,-0.001491166817,0.5120482401,-0.1754268134,0.2525562299,-0.4619248094,-0.3108493487
1.393748239,1,2,0.8678006488,-0.9276150983,-0.2916775976,-0.02500960769,-0.4161837325,1.438817769,-0.03496803115,0.5402230639,0.822083946,0.2594644331,-0.4278754855,0.2272189714
1.489979546,1,2,1.301700889,-0.9730962361,0.98568469,-0.3701868814,-1.069717462,1.336655229,5.90E-05,0.4134715964,0.6531668404,0.2525562299,-0.3877655153,0.1755965527
1.665847783,1,2,1.94046106,-1.11223902,-0.4741579242,-0.004087359164,-0.1528235363,1.575034489,-0.0129621715,0.4370406178,1.103188277,0.2319014154,-0.5047266494,0.3262971169
1.747155897,1,2,0.9702305978,-0.9276150983,-0.1091972708,-0.07017893706,-0.3271758781,2.017738829,-0.01761217819,0.5652505124,1.261751086,0.3056476441,-0.6348906532,0.2680776468
1.824844822,1,2,0.8678006488,-0.7415768239,-0.6566382509,0.08786071086,1.321652074,-1.285516629,-0.02303669772,0.3384399493,0.4190775946,-0.8387777279,-0.02727478568,1.061834985
1.747155897,1,2,1.227255375,-0.758945034,0.2557633826,-0.134937263,0.6364430592,1.132330149,-0.07520903912,0.4719681657,0.8918249785,0.1855715217,-0.342967332,0.3550551162
1.824844822,1,2,1.147992294,-1.207228176,-0.6566382509,0.03027946533,0.1797086051,1.643142849,0.02005505619,0.483494153,0.2411938227,0.2471365032,-0.5228773644,-0.122080125
1.580361965,1,2,2.169501409,-0.1890491002,0.07328305594,-0.006344041622,-0.5063531614,1.438817769,0.01959009212,0.4863664006,0.5847210598,0.2461518697,-0.4369879657,0.1118795633
1.580361965,1,2,1.439084465,-0.7329205483,-0.2916775976,0.001325772482,-0.3271758781,0.5193549098,0.0403528684,0.5120482401,0.2045203483,0.1940651446,-0.03295575915,0.1916744556
1.489979546,1,1,1.503074697,-1.303979258,-1.386559558,0.2121932499,1.190335127,0.4853007299,-0.05215855562,0.5652505124,0.4190775946,0.1256841351,-0.06931106861,0.317784259
1.824844822,1,2,0.9702305978,-1.188088857,0.6207240361,-0.3077800459,-0.6900195262,0.3490840099,-0.04286796937,0.5092097721,0.2780023848,0.07450951816,-0.03791047111,0.2840157107
1.747155897,1,2,1.680488586,-0.891556754,0.07328305594,-0.1102685276,-2.508049365,0.3831381899,-0.1194857472,0.5006716812,0.4190775946,0.1014276216,-0.03418069956,0.3466625818
1.580361965,1,2,1.735601145,-0.7939035207,-1.021598904,0.1714089834,1.256300831,-1.523895889,-0.07319933481,0.3445155243,0.1752800038,-0.9390580732,-0.004868991124,1.004877018
1.393748239,1,2,1.062834353,-1.207228176,-1.204079231,0.1730415646,0.850195036,0.9620592496,-0.1080883059,0.52054085,0.09532818167,0.3728223554,-0.1269063764,-0.02113267317
