"","lt","dd","p","mn","s","mn_s","sh","tt","cs","mcwf","ml","mcwd_t","sczfr","mf","he"
"2050",2.03939390542877,1.48997954576565,1.503074697382,-1.00980626584953,-0.291677597553009,-0.0362610244675781,1.45061480777597,1.52000898018538,-0.870826381477149,-0.486778330020794,-1.21148657715113,0.22650812573738,0.755745766455415,1.29418986436487,0.597296115505233
"2051",2.03939390542877,1.58036196512065,1.73560114542484,-0.417946120298767,0.43824370934043,-0.123905525859464,-0.783445287457854,-0.676598462117015,-0.129543754201228,-0.472487144972025,-1.12014196600064,0.38922187238081,0.443074039423657,0.469972320916613,0.296998522168109
"2052",2.03939390542877,1.39374823870382,1.30170088856849,-0.882587680952616,0.255763382591481,-0.154732887439038,-0.506353161409011,-0.404189233972288,-0.0243674997727596,-0.520946280008529,-1.12581952008493,0.300151656558921,1.36623733642245,1.11558376249165,0.152999717449784
"2053",2.03939390542877,0.912422367656558,1.5644497414107,-0.802689288756497,-0.291677597553009,-0.00806699708182854,0.016301803962525,0.10849182282604,-0.404583071481751,-0.446592190690628,-1.15750677687161,-1.52109707648082,1.03676576847102,1.14655206990008,-1.40309623345517
"2054",2.03939390542877,1.58036196512065,1.30170088856849,-0.864704284149813,-1.2040792311954,0.210009512605216,0.919716661640882,0.995535688007004,-0.302305876176996,-0.521626797716541,-1.123929897082,0.449014830026901,1.3390576338259,1.30360641001936,0.441793116369034
"2055",2.03939390542877,1.29036012760004,1.06283435256864,-0.715663758419433,-0.474157924199601,0.0472280336581134,1.19033512667399,1.26268267843604,-1.41819402574273,-0.166742223962806,-1.17758064215301,0.255901133121532,0.160202183890537,1.21210586111105,1.10679323439926
"2056",2.03939390542877,1.29036012760004,2.03517272510222,-0.647383134141678,-1.02159890434409,0.187780170654832,0.259113289222571,0.346017534589874,-0.0243674997727596,-0.194957026625494,-1.16301443888811,0.241193822692291,1.42449807937014,1.15828434544513,0.150682864131206
"2057",2.03939390542877,1.89935871203941,1.503074697382,-0.811493475580201,-0.10919727080406,-0.0535474064658746,1.70220734777541,1.76903324702277,-1.48150857889721,-0.214390606461608,-1.19376061631672,0.21917341688152,-0.0982711639532699,0.981813608996154,1.11088289926549
"2058",2.19066044778738,1.48997954576565,1.503074697382,0.868154328136262,-0.8391185776975,0.337120813667251,1.25630083095144,1.45650742949963,-1.16278260448252,-0.203620443713124,-1.14455807087241,-0.119155211096989,0.47380329497478,1.29398712615104,0.485489701589656
"2059",2.19066044778738,0.744989720063304,1.37211320629896,0.897862916839255,-1.3865595580467,0.459872113695776,0.0987551034398998,0.346017534589874,-1.13059809706241,-0.209994416864647,-1.15382112730078,-0.112093113882386,0.347290870711924,1.14017152861325,0.46950501585532
"2060",2.19066044778738,0.526787233140667,0.970230597847749,1.03642876152896,-2.11648086442836,0.665072128926824,0.919716661640882,1.13045115583128,-0.903533233784311,-0.219539562009061,-1.09329805080528,-0.231290951349133,0.816171896229323,1.37709944771065,0.190059362426773
"2061",2.03939390542877,1.58036196512065,1.73560114542484,-1.15002217870129,-0.10919727080406,-0.102663999211482,-0.690019526224881,-0.584717340621422,1.84736967671748,-0.195413361829036,-1.11062117122862,0.954120163150212,0.176612723557736,-0.638535320717862,-0.0949035723748667
"2062",2.03939390542877,1.39374823870382,1.68048858624508,-0.732920548271836,-1.02159890434409,0.178224961017644,2.75418776064582,2.81238494111427,-1.57610457994711,-0.179418329101012,-1.17576941015197,0.167983708081023,0.0618301730279542,1.25669203179176,1.14125109430769
"2063",2.03939390542877,1.17793224126008,1.37211320629896,-0.811493475580201,0.43824370934043,-0.189285319245048,0.016301803962525,0.10849182282604,1.30541463981539,-0.189173338411304,-1.08552122321011,0.300151656558921,0.18945202192315,-0.431809543119546,-0.372940137752234
"2064",2.03939390542877,1.48997954576565,1.30170088856849,-0.417946120298767,-2.11648086442836,0.508429627136367,0.337061152315937,0.422392346442725,0.479635611283797,-0.20544242259817,-1.17213879738303,0.17528000379868,-0.111838461515315,-0.315648737855976,-0.147792428952047
"2065",2.03939390542877,0.526787233140667,1.73560114542484,-0.927615098333666,-0.10919727080406,-0.0701789370643818,1.25630083095144,1.32786767223974,-1.51308990274571,1.76236671589782,-1.19376061631672,-0.307419307527213,-0.0594525464398945,1.05636966050893,1.01669039784189
"2066",1.87596956414543,0.526787233140667,1.503074697382,0.992588588470205,0.43824370934043,0.117491069031367,-1.26528869457326,-1.34708398679264,0.443000103482544,1.85344032469718,-1.09135835758592,-0.423450545320581,1.34591821593674,0.791543692538038,-0.265440527100432
"2067",2.03939390542877,1.05357461581988,1.73560114542484,-0.918573242172076,-0.10919727080406,-0.0688767303745247,2.30059244365343,2.36216760042785,-1.44987689017831,1.83018747610652,-1.22199736287154,-0.35543968210479,0.236809709463388,1.32534881961939,0.934224355862196
"2068",1.87596956414543,1.82484482162183,1.68048858624508,0.910465346616524,-1.93400053757705,0.597777942066128,2.47299803861964,2.41950752043926,-1.48150857889721,1.80715293691379,-1.15197412157478,-0.375916210020425,0.0583163147568396,1.1605033668703,0.921860846244839
"2069",1.87596956414543,0.912422367656558,1.06283435256864,1.25753785272221,-1.2040792311954,0.470703844541433,-0.239373238829385,-0.315617232285376,-0.968738263270875,1.81150425280427,-1.16484480159399,-0.510853753674424,0.844952665125467,1.46209648921676,0.371071063855446
"2070",2.19066044778738,0.912422367656558,1.84088300307217,1.11010158174856,-0.474157924199601,0.302590629287779,0.0987551034398998,0.346017534589874,-0.0595515821806287,1.81706554317231,-1.11253118135243,-0.463928508658755,-0.274879134677253,-0.199738050242172,-0.092899227378783
"2071",2.03939390542877,1.39374823870382,1.22725537513592,-0.758945033952443,-1.56903988489801,0.317421023060081,2.18397523290733,2.24649416839342,-1.70156268518978,1.80024307916149,-1.2254804475649,-0.656358724901013,-0.296200443778984,0.946544773001043,0.718995200284528
"2072",1.78866681011305,1.29036012760004,1.43908446534594,1.49128362365914,-1.56903988489801,0.585638290432662,0.337061152315937,0.189165399970994,0.516359033946932,1.79844607947757,-1.13147109702474,-0.0553750098857128,1.0970669969694,0.575182205525516,0.0376422721622632
"2073",1.87596956414543,1.29036012760004,1.78901670858603,0.918824572459253,-2.29896119127966,0.705712969013065,2.30059244365343,2.24649416839342,-1.41819402574273,1.78785177271508,-1.24274416690547,-0.457198847289065,0.165744921650757,1.21810273478303,0.754128675702306
