grade,grade,seq_no,dd,p,mn,s,mn_s,mn_s_t,l_temp,s_temp,super_heat,tt,f_temp,cs,mcwf,mould_level,mcwd_temp,new_var,sczfr,m_factor
1,980,S15,13,0.021,0.752,0.018,41.77777778,32.58285073,1508,1557,49,1557,1552,3.03,2238.45,59.24,8.01,24853443.86,285.88,282.85
1,980,S25,11,0.022,0.734,0.022,33.36363636,27.78715793,1508,1560,52,1560,1555,3.01,2234.92,58.81,8.21,25602827.72,287.7,284.69
1,980,S34,11,0.017,0.72,0.024,30,25.93359266,1508,1550,42,1550,1550,3.2,2234.46,58.89,7.93,23256538.99,304.82,301.62
1,980,S9,11,0.014,0.772,0.018,42.88888889,32.58285073,1508,NA,48,1556,1556,3.05,2235.05,58.8,8.27,25453189.08,291.66,288.61
1,980,S14,7,0.017,0.748,0.018,41.55555556,32.58285073,1508,1552,44,1552,1552,2.89,2239.21,59.1,7.74,25187625.84,273.53,270.64
1,980,S19,11,0.017,0.743,0.023,32.30434783,26.82423957,1508,NA,38,1546,1546,2.51,2234.5,58.92,7.15,26733878.49,238.26,235.75
1,980,S24,10,0.011,0.749,0.024,31.20833333,25.93359266,1508,NA,39,1547,1547,2.46,2242.13,59.13,6.88,26336824.59,231.78,229.32
1,980,S29,13,0.016,0.764,0.024,31.83333333,25.93359266,1508,NA,50,1558,1558,2.36,2240.3,59,7.37,29384002.63,224.86,222.5
1,980,M,14,0.019,0.722,0.024,30.08333333,25.93359266,1508,1563,55,1563,1566,2.42,2242.76,58.87,7.37,28686939.27,229.97,227.55
1,980,S10,7,0.014,0.733,0.027,27.14814815,23.61991192,1508,1699,191,1699,1499,2.93,2248.12,59.08,7.42,23911403.3,277.72,274.79
1,980,S15,14,0.023,0.71,0.022,32.27272727,27.78715793,1508,1544,36,1544,1550,2.91,2247.62,58.85,7.14,23162071.67,277.36,274.45
1,980,S20,10,0.021,0.73,0.024,30.41666667,25.93359266,1508,1563,55,1563,1563,2.93,2245.24,59.02,7.56,24331351.7,279.4,276.47
1,980,S30,11,0.018,0.78,0.026,30,24.33786233,1508,1523,15,1523,1523,2.97,2242.47,59.07,7.75,24576565.15,272.09,269.12
1,980,M,12,0.023,0.738,0.018,41,32.58285073,1508,1581,73,1581,1581,2.42,2243.93,58.54,7.19,28000908.32,231.77,229.35
1,980,S5,10,0.021,0.706,0.024,29.41666667,25.93359266,1508,1552,44,1552,1560,3.16,2241.64,59.04,7.56,22524225.72,288.18,285.02
