"","l_temp","dd","p","mn","s","mn_s","mn_s_t","super_heat","tt","cs","mcwf","mould_level","mcwd_temp","sczfr","m_factor","heat_ext"
"2312",-0.3510181944346,0.0756831528938854,1.05160123108103,0.933114135762092,1.57916238510097,-0.553875465622219,-1.07248619902929,-0.602186649552577,-0.677781735862886,-0.0595661498314236,0.805224973963575,1.50614281559692,-0.425123729577746,0.974223719864482,0.974223719864482,-0.339653190540405
"2313",-0.3510181944346,0.353188046838132,0.298523440969525,1.09163378112332,0.86605036563369,-0.205961839321513,-0.75193473426145,-0.676891786910921,-0.751791464524823,1.2685468694128,0.879788860201378,1.46754320825374,-0.355908869537953,1.00146791222608,1.00146791222608,-0.61257549938805
"2314",-0.3510181944346,-0.479326634994608,-0.0780154540862267,1.00417466644126,-0.203617663567226,0.417228642643764,-0.060794418760972,0.443685273464239,0.35835446540423,-0.127674509792666,0.910017462730212,1.51257608348745,0.216267306791003,0.992987931822139,0.992987931822139,0.336161852503852
"2315",0.288847501514177,0.0756831528938854,0.863331783553152,-0.772338600538033,0.86605036563369,-0.909630561766786,-0.75193473426145,-0.826302061627609,-0.751791464524823,0.519354909839134,0.806155084810622,1.51579271743272,-0.365137517543259,0.971156492909865,0.971156492909865,-0.441922986432541
"2316",0.288847501514177,-0.201821741050361,-0.266284901614102,-0.455299309815573,-1.27328569276814,0.612675799244873,1.14216069634899,-1.27453288577767,-1.19584983649644,0.791788349684102,0.835918631915932,1.49327627981586,-0.171335909431838,0.904399200368203,0.904399200368203,-0.332220461574744
"2317",0.288847501514177,0.0756831528938854,-1.39590158678136,-0.963655413905034,-0.916729683034503,-0.0790538436247628,0.651524775686088,0.966621234972647,1.02444202336166,-1.48984170901751,0.870332733256458,1.36461092200524,-2.99991652305805,0.270385346337389,0.270385346337389,-2.89274633757532
"2318",0.288847501514177,-0.479326634994608,-1.39590158678136,-0.827000547214319,2.29227440456824,-1.28228244715268,-1.32452039372906,-0.153955825402513,-0.085703906567391,1.4388177693159,0.896375836973607,1.50614281559692,-0.411280757569788,1.05000226815502,1.05000226815502,-0.697601781001777
"2319",0.288847501514177,2.01821741050361,-0.831093244197729,-0.799669573876176,0.509494355900051,-0.79441598581497,-0.556112823906132,0.0701595866725186,0.13632527941842,1.47287194929652,0.830648003782704,1.5447424229401,-0.00983456933898738,1.00417428895074,1.00417428895074,-0.364717939429098
"2320",0.288847501514177,0.353188046838132,-1.20763213925348,-0.712210459194118,-1.45156369763496,0.652472731521345,1.43773959775536,1.93778802063112,1.98656849596684,-1.08119154925005,0.963963891858597,1.42572696696528,-3.05990273509254,0.459110016603817,0.459110016603817,-2.96696100070623
"2321",-0.3510181944346,0.353188046838132,-0.0780154540862267,0.949512719764979,-1.09500768790132,1.3293153741643,0.882174487863712,-0.751596924269265,-0.82580119318676,0.757734169703482,0.954197727964664,1.47719311008953,-0.115964021400004,1.01499979584939,1.01499979584939,-0.263155789581706
"2322",-0.3510181944346,-0.479326634994608,2.36948736377616,0.916715551759207,-0.0253396587004064,0.24094297161574,-0.200441757904413,-0.303366100119201,-0.381742821215139,-0.468216309598876,1.24160197970037,1.54795905688537,-0.438966701585705,0.971697768254798,0.971697768254798,-0.195699430174887
"2323",0.288847501514177,-0.756831528938855,0.298523440969525,-0.635683733847317,-1.62984170250178,0.971634302800936,1.77712916125503,-0.228660962760857,-0.159713635229328,0.383138189916649,1.16378270549793,0.849949490762768,0.142438122748557,1.05433247091448,1.05433247091448,0.109579098812897
