grade,grade_s,seq_no,l_temp,dd,p,mn,s,mn_s,mn_s_t,super_heat,tt,cs,mcwf,mould_level,mcwd_temp,sczfr,m_factor,heat_ext
F,980,S15,1508,5,0.025,0.71,0.03,23.66666667,21.72572514,41,1549,2.58,2272.15,58.08,7.08,303.56,151.78,26187849.77
F,980,S24,1508,8,0.017,0.775,0.012,64.58333333,44.94691449,43,1551,2.5,2277.92,58.03,6.64,309.77,154.885,25410653.18
F,909,S30,1506,5,0.023,1.01,0.023,43.91304348,26.82423957,48,1554,2.89,2276.63,57.8,7.56,302.81,151.405,25012995.07
F,909,M,1506,7,0.018,1.02,0.019,53.68421053,31.21470086,82,1588,2.46,2275.1,57.73,7.61,304.2,152.1,29559652.93
F,980,S05,1508,7,0.024,0.81,0.02,40.5,29.96988564,45,1553,3.03,2273.47,58.13,8.12,302.65,151.325,25588917.78
F,980,S20,1508,1,0.025,0.75,0.019,39.47368421,31.21470086,38,1546,2.41,2278.27,57.96,6.86,306.92,153.46,27237143.25
F,980,S26,1508,6,0.026,0.795,0.022,36.13636364,27.78715793,47,1555,2.76,2274.94,57.99,7.37,304.65,152.325,25513946.65
F,976,S30,1510,5,0.031,0.975,0.023,42.39130435,26.82423957,50,1560,2.75,2276.17,57.86,7.15,304.69,152.345,24855776.4
F,980,M,1508,8,0.018,0.75,0.012,62.5,44.94691449,67,1575,2.33,2281.67,57.76,6.94,301.4,150.7,28543397.92
F,980,S10,1508,5,0.022,0.738,0.026,28.38461538,24.33786233,33,1541,2.88,2288.37,58.03,7.25,300.45,150.225,24194745.31
F,980,S15,1508,5,0.023,0.733,0.024,30.54166667,25.93359266,47,1555,2.85,2285.72,57.98,7.42,299.99,149.995,24993746.69
F,909,S20,1506,8,0.034,1.012,0.023,44,26.82423957,45,1551,3.15,2284.85,58.1,8,294.87,147.435,24371733.33
F,909,S25,1506,5,0.017,1.047,0.023,45.52173913,26.82423957,194,1700,3.1,2284.37,57.78,8.29,292.48,146.24,25657159.57
F,909,S30,1506,2,0.022,1.05,0.021,50,28.83191546,31,1537,3.02,2284.96,58.01,8.05,292.46,146.23,25580959.47
F,980,M,1508,6,0.021,0.777,0.021,37,28.83191546,68,1576,2.34,2284.28,57.56,7.34,290.8,145.4,30093924.72
F,909,S10,1506,6,0.025,1.05,0.024,43.75,25.93359266,45,1551,3.04,2290.57,58.12,7.96,289.15,144.575,25190242.18
F,909,S14,1506,10,0.016,1.028,0.022,46.72727273,27.78715793,35,1541,3.2,2290.97,58.19,8.16,287.67,143.835,24536288.7
F,909,S19,1506,9,0.02,1.108,0.021,52.76190476,28.83191546,52,1558,3.16,2291.35,57.81,8.19,287.56,143.78,24942359.91
F,909,S24,1506,5,0.035,1.043,0.028,37.25,22.94811947,53,1559,2.49,2291.25,58.03,6.92,288.88,144.44,26744132.53
F,909,M,1506,10,0.027,1.046,0.025,41.84,25.10710746,66,1572,2.26,2288.39,57.73,7.12,276.83,138.415,30279652.46
F,909,S05,1506,8,0.018,1.04,0.011,94.54545455,48.15942887,57,1563,3.21,2284.59,57.97,7.94,289.59,144.795,23734114.43
F,980,S10,1508,8,0.025,0.74,0.028,26.42857143,22.94811947,44,1552,2.82,2292.61,58.06,7.46,289.35,144.675,25472360.47
F,909,S15,1506,8,0.019,1.07,0.03,35.66666667,21.72572514,30,1536,2.51,2290.7,58.01,7.31,287.77,143.885,28019550.36
F,909,S20,1506,10,0.026,1.014,0.035,28.97142857,19.22466134,46,1552,3.29,2291.15,57.82,8.03,284.68,142.34,23486724.89
F,909,S25,1506,6,0.029,1.021,0.031,32.93548387,21.1678094,40,1546,3.18,2291,58.05,7.88,284.25,142.125,23843690.57
F,909,S30,1506,6,0.03,1.07,0.026,41.15384615,24.33786233,46,1552,2.99,2290.92,58.07,7.94,284.25,142.125,25551036.84
F,909,S34,1506,6,0.028,1.035,0.034,30.44117647,19.67192734,53,1559,2.93,2288.79,57.83,7.74,284.22,142.11,25393851.65
F,909,S05,1506,11,0.017,1.077,0.02,53.85,29.96988564,44,1550,2.79,2292.6,58.09,7.65,284.19,142.095,26401877.42
F,909,S09,1506,9,0.035,1.053,0.015,70.2,37.65403131,51,1557,2.85,2295.85,58,7.54,283.36,141.68,25510518.53
F,909,S14,1506,8,0.021,1.074,0.021,51.14285714,28.83191546,47,1553,3.21,2292.42,57.86,8.01,282.23,141.115,24025418.58
F,980,M,1508,1,0.018,0.726,0.022,33,27.78715793,71,1579,2.3,2289.98,57.81,7.08,282.83,141.415,29606454.47
F,980,S05,1508,8,0.029,0.724,0.026,27.84615385,24.33786233,53,1561,2.83,2295.73,58.04,7.27,282.72,141.36,24769547.64
F,980,S10,1508,3,0.027,0.745,0.029,25.68965517,22.31802259,36,1544,2.81,2297.03,58.07,7.17,281.7,140.85,24616641.07
F,980,S05,1508,5,0.016,0.73,0.023,31.73913043,26.82423957,45,1553,3.11,2295.8,58.21,7.26,282.75,141.375,22509174.79
F,980,S10,1508,10,0.021,0.73,0.022,33.18181818,27.78715793,47,1555,2.99,2292.99,58.1,7.27,280.88,140.44,23416105.91
F,980,S15,1508,8,0.027,0.713,0.019,37.52631579,31.21470086,33,1541,2.93,2294,57.92,7.35,280.49,140.245,24169208.19
F,980,S20,1508,3,0.019,0.756,0.018,42,32.58285073,55,1563,2.68,2295.36,57.99,7.08,281.02,140.51,25468218.27
F,980,S25,1508,4,0.022,0.734,0.024,30.58333333,25.93359266,47,1555,2.54,2295.72,58.09,6.47,280.68,140.34,24560588.69
F,980,S34,1508,4,0.022,0.725,0.02,36.25,29.96988564,43,1551,2.5,2295.44,57.81,6.76,279.63,139.815,26068852.99
F,980,M,1508,5,0.017,0.741,0.022,33.68181818,27.78715793,56,1564,2.47,2291.71,57.85,7.2,282.56,141.28,28057210.69
F,980,S05,1508,9,0.016,0.731,0.016,45.6875,35.77449321,52,1560,2.88,2298.98,57.85,7.2,278.68,139.34,24139290
F,980,S14,1508,6,0.022,0.728,0.027,26.96296296,23.61991192,51,1559,2.75,2298.66,57.69,6.9,278.91,139.455,24223697.02
F,980,S30,1508,5,0.019,0.766,0.017,45.05882353,34.09448306,46,1554,3.07,2299.1,58.19,6.98,274.7,137.35,21954532.77
F,980,M,1508,6,0.012,0.812,0.012,67.66666667,44.94691449,69,1577,2.34,2297.84,57.65,6.62,278.7,139.35,27303052.72
F,980,S05,1508,7,0.022,0.727,0.028,25.96428571,22.94811947,49,1557,2.79,2297.27,57.81,6.72,275.49,137.745,23239479.74
F,980,S20,1508,7,0.019,0.74,0.018,41.11111111,32.58285073,51,1559,2.64,2302.6,57.94,6.4,276.5,138.25,23444654.55
F,980,S25,1508,6,0.022,0.8,0.018,44.44444444,32.58285073,51,1559,2.68,2301.43,58.03,6.43,275.89,137.945,23191200.96
F,976,M,1510,10,0.026,0.98,0.008,122.5,62.00271238,86,1596,2.27,2295.42,57.47,6.04,274.18,137.09,25652076.9
F,980,S05,1508,4,0.03,0.761,0.011,69.18181818,48.15942887,49,1557,2.41,2299.76,57.94,6.42,278.14,139.07,25730592.8
F,980,S15,1508,5,0.015,0.815,0.02,40.75,29.96988564,39,1547,2.57,2299.42,57.99,6.11,276.43,138.215,22960200.79
F,980,S20,1508,4,0.022,0.79,0.024,32.91666667,25.93359266,53,1561,2.63,2301.17,57.89,6.41,274.86,137.43,23555931.08
F,980,S25,1508,9,0.033,0.77,0.023,33.47826087,26.82423957,45,1553,2.97,2300.54,57.91,7.13,274.79,137.395,23195949.78
F,980,S30,1508,4,0.026,0.75,0.022,34.09090909,27.78715793,50,1558,2.85,2299.78,58.15,6.73,273.74,136.87,22808975.96
F,980,M,1508,5,0.018,0.74,0.018,41.11111111,32.58285073,68,1576,2.36,2300.69,57.62,6.73,277.27,138.635,27555637.09
F,980,S10,1508,4,0.024,0.759,0.026,29.19230769,24.33786233,38,1546,3.23,2300.45,58.05,7.14,272.52,136.26,21357862.11
F,980,S15,1508,7,0.026,0.779,0.024,32.45833333,25.93359266,44,1552,3.1,2300.24,57.98,7.16,274.01,137.005,22313812.03
F,980,S20,1508,8,0.033,0.745,0.028,26.60714286,22.94811947,32,1540,3.22,2299.42,57.94,6.92,272.38,136.19,20754764.87
F,980,S25,1508,7,0.027,0.73,0.023,31.73913043,26.82423957,48,1556,3.07,2298.56,57.95,7.12,271.81,135.905,22389621.58
F,980,S30,1508,12,0.021,0.73,0.033,22.12121212,20.1434254,47,1555,3.03,2299.63,58.17,6.9,269.85,134.925,21994480.99
F,976,M,1510,2,0.019,0.99,0.019,52.10526316,31.21470086,56,1566,2.28,2313.09,57.59,6.13,291.7,145.85,26119655.76
F,980,M,1508,10,0.02,0.735,0.024,30.625,25.93359266,185,1693,2.34,2319.87,57.38,7.1,306.54,153.27,29563471.54
F,980,S24,1508,11,0.025,0.727,0.023,31.60869565,26.82423957,195,1703,2.73,2324.45,58.17,6.78,267.05,133.525,24245801.54
F,980,M,1508,8,0.027,0.71,0.026,27.30769231,24.33786233,59,1567,2.3,2322.67,57.65,6.58,292.64,146.32,27908394.83
F,980,S05,1508,5,0.022,0.724,0.026,27.84615385,24.33786233,42,1550,2.39,2322.88,58.16,6.46,285.68,142.84,26370033.54
F,980,S23,1508,5,0.018,0.742,0.028,26.5,22.94811947,67,1575,2.37,2328.51,58.01,6.31,314.97,157.485,26038047.27
F,980,S05,1508,7,0.038,0.78,0.017,45.88235294,34.09448306,26,1534,3.14,2327.71,57.8,7.42,318.21,159.105,23102151.1
F,980,S10,1508,5,0.028,0.753,0.035,21.51428571,19.22466134,41,1549,3.12,2329.16,57.95,7.07,319.26,159.63,22167332.38
F,980,S15,1508,6,0.02,0.645,0.021,30.71428571,28.83191546,28,1536,2.93,2330.39,57.95,6.84,319.07,159.535,22848956.97
F,980,M,1508,8,0.026,0.79,0.025,31.6,25.10710746,63,1571,2.34,2325.64,57.54,6.47,308.06,154.03,27007239.9
F,980,S04,1508,7,0.021,0.751,0.027,27.81481481,23.61991192,55,1563,3.15,2327.44,58.19,7.13,309.31,154.655,22126196.27
F,909,S09,1506,5,0.019,1.03,0.024,42.91666667,25.93359266,46,1552,2.95,2325,57.74,7.36,311.66,155.83,24362847.46
F,980,S20,1508,6,0.026,0.8,0.029,27.5862069,22.31802259,54,1562,2.45,2330.61,58,6.35,302.09,151.045,25370354.57
F,909,S28,1506,5,0.025,1.062,0.02,53.1,29.96988564,53,1559,2.97,2327.23,58.16,7.01,299.55,149.775,23070136.59
F,980,M,1508,21,0.024,0.74,0.027,27.40740741,23.61991192,38,1546,2.37,2330.57,57.52,6.97,300.82,150.41,28786964.63
F,980,S03,1508,8,0.018,0.725,0.02,36.25,29.96988564,41,1549,2.52,2334.95,57.76,6.88,303.24,151.62,26774093.33
F,909,S08,1506,4,0.023,1.029,0.024,42.875,25.93359266,48,1554,2.36,2336.72,57.94,6.69,304.3,152.15,27820829.9
F,909,S13,1506,10,0.024,1.075,0.022,48.86363636,27.78715793,44,1550,2.38,2335.58,57.96,6.59,302.17,151.085,27161421.53
F,980,M,1508,5,0.022,0.77,0.023,33.47826087,26.82423957,48,1556,2.34,2338.94,57.87,6.9,299.25,149.625,28966872.31
F,909,S05,1506,7,0.024,1.053,0.035,30.08571429,19.22466134,55,1561,2.11,2342.66,58.11,6.14,258.6,129.3,28631524.21
F,980,S10,1508,15,0.026,0.793,0.025,31.72,25.10710746,58,1566,2.43,2340.96,57.88,6.55,296.15,148.075,26501979.26
F,909,S15,1506,11,0.031,1.041,0.031,33.58064516,21.1678094,33,1539,2.6,2339.29,57.91,6.32,296.55,148.275,23882351.45
F,909,S05,1506,8,0.022,1.014,0.028,36.21428571,22.94811947,52,1558,2.42,2334.66,58.08,6.61,297.97,148.985,26782987.98
F,980,S10,1508,5,0.023,0.746,0.027,27.62962963,23.61991192,35,1543,2.83,2333.8,57.91,6.49,294.48,147.24,22478699.79
F,909,S19,1506,12,0.025,1.035,0.018,57.5,32.58285073,63,1569,2.32,2335.8,57.98,6.78,293.69,146.845,28669931.38
F,909,S24,1506,6,0.021,1.051,0.015,70.06666667,37.65403131,57,1563,2.32,2334.58,58.04,6.57,293.04,146.52,27767414.02
F,909,S05,1506,8,0.023,1.035,0.022,47.04545455,27.78715793,43,1549,2.5,2328.47,58.12,6.83,293.74,146.87,26717796.17
F,909,S20,1506,11,0.019,1.026,0.022,46.63636364,27.78715793,44,1550,2.47,2337.26,57.95,6.78,295.17,147.585,26945674.4
F,909,S24,1506,2,0.025,1.1,0.024,45.83333333,25.93359266,38,1544,2.51,2333.94,57.87,6.44,293.45,146.725,25150760.61
F,909,S05,1506,5,0.019,1.041,0.022,47.31818182,27.78715793,43,1549,2.29,2337.48,57.9,6.5,291.98,145.99,27866027.95
F,909,S10,1506,3,0.019,1.095,0.019,57.63157895,31.21470086,49,1555,2.24,2338.28,58.11,6.51,271.57,135.785,28541630.25
F,909,S20,1506,8,0.025,1.01,0.027,37.40740741,23.61991192,61,1567,2.7,2340.47,58.05,6.66,285.83,142.915,24247269.2
F,909,S10,1506,11,0.028,1.036,0.018,57.55555556,32.58285073,54,1560,2.53,2330.92,58.07,6.9,289.59,144.795,26699629.09
F,909,S20,1506,5,0.026,1.035,0.025,41.4,25.10710746,53,1559,2.63,2342.32,58.01,6.77,285.27,142.635,25323774.48
F,909,S25,1506,5,0.023,1.13,0.024,47.08333333,25.93359266,57,1563,3.1,2347.04,58.06,7.45,285.98,142.99,23689961.81
F,909,M,1506,14,0.021,1.016,0.023,44.17391304,26.82423957,66,1572,2.36,2334.05,57.65,6.79,282.67,141.335,28204422.84
F,909,S10,1506,5,0.03,1.053,0.028,37.60714286,22.94811947,52,1558,2.61,2338.15,58.2,6.79,281.75,140.875,25547648.16
F,909,S20,1506,13,0.017,1.041,0.032,32.53125,20.64126415,34,1540,2.55,2339.84,58.06,6.29,285.49,142.745,24240742.4
F,909,M,1506,4,0.018,1.02,0.029,35.17241379,22.31802259,55,1561,2.31,2337.95,57.72,6.55,283.39,141.695,27842859.09
F,909,S05,1506,5,0.019,1.023,0.027,37.88888889,23.61991192,59,1565,2.96,2337,57.94,7.07,275.27,137.635,23444215.54
F,909,S10,1506,3,0.021,1.036,0.027,38.37037037,23.61991192,56,1562,3,2342.19,58.14,6.91,267.25,133.625,22658346.06
F,909,S15,1506,8,0.025,1.04,0.025,41.6,25.10710746,58,1564,2.9,2341.58,57.78,7.48,267.97,133.985,25366578.37
F,980,M,1508,5,0.017,0.739,0.027,27.37037037,23.61991192,61,1569,2.23,2301.2,57.58,7.15,272.18,136.09,30988805.38
F,980,M,1508,2,0.023,0.736,0.029,25.37931034,22.31802259,62,1570,2.27,2299.88,57.56,6.96,269.55,134.775,29616780.69
F,980,M,1508,7,0.014,0.743,0.021,35.38095238,28.83191546,65,1573,2.37,2303.84,57.81,6.68,305.83,152.915,27272799.59
F,980,M,1508,5,0.024,0.729,0.022,33.13636364,27.78715793,68,1576,2.3,2307,57.63,7,280.8,140.4,29489478.26
F,909,M,1506,6,0.028,1.02,0.024,42.5,25.93359266,197,1703,2.96,2307.54,66.87,0.97,282.16,141.08,3175985.797
F,980,M,1508,5,0.019,0.763,0.015,50.86666667,37.65403131,65,1573,2.31,2308.37,57.69,7.14,299.48,149.74,29966839.64
F,980,M,1508,5,0.027,0.745,0.013,57.30769231,42.18126779,75,1583,2.34,2301.71,57.7,6.98,304.62,152.31,28836295.03
F,976,M,1510,9,0.017,1.018,0.021,48.47619048,28.83191546,71,1581,2.35,2298.23,57.62,6.76,299.89,149.945,27766530.28
F,976,M,1510,5,0.025,0.997,0.015,66.46666667,37.65403131,61,1571,2.64,2301.99,57.71,6.71,267.6,133.8,24573743.25
F,980,M,1508,6,0.029,0.71,0.009,78.88888889,56.47110389,74,1582,2.33,2298.11,57.91,6.47,310.78,155.39,26802077.74
F,980,M,1508,12,0.023,0.743,0.03,24.76666667,21.72572514,70,1578,2.34,2291.28,57.73,7.22,307.84,153.92,29692638.77
F,909,S35,1506,11,0.022,1.08,0.019,56.84210526,31.21470086,41,1547,3.19,2296.03,58.01,7.36,319.29,159.645,22249178.48
F,980,M,1508,8,0.017,0.751,0.009,83.44444444,56.47110389,74,1582,2.31,2289.81,57.47,6.7,203.57,101.785,27894049.09
F,909,S10,1506,10,0.022,1.036,0.027,38.37037037,23.61991192,47,1553,2.96,2298.31,57.96,7.25,187.42,93.71,23643087.67
F,980,S20,1508,12,0.027,0.79,0.032,24.6875,20.64126415,55,1563,2.71,2296.24,57.98,6.83,185.07,92.535,24306251.16
F,909,S25,1506,4,0.03,1,0.029,34.48275862,22.31802259,59,1565,3.13,2294.33,57.74,7.71,184.85,92.425,23736419.83
F,909,M,1506,13,0.023,1.049,0.02,52.45,29.96988564,68,1574,2.26,2299.22,57.97,6.57,180.92,90.46,28072865.79
F,980,M,1508,7,0.03,0.772,0.03,25.73333333,21.72572514,66,1574,2.43,2347.16,57.69,6.77,306.14,153.07,27464669.73
F,909,S05,1506,5,0.035,1.042,0.03,34.73333333,21.72572514,49,1555,3.48,2363.78,58.09,7.36,303.41,151.705,20996887.17
F,909,S10,1506,2,0.02,1.02,0.024,42.5,25.93359266,24,1530,3.48,2367.31,58.07,7.47,296.04,148.02,21342524.12
F,909,M,1506,2,0.024,1.06,0.026,40.76923077,24.33786233,65,1571,2.27,2357.24,57.64,7.17,283.77,141.885,31271332.76
F,980,S25,1508,9,0.024,0.8,0.024,33.33333333,25.93359266,43,1551,3.01,2363.59,58.2,7.15,318.34,159.17,23580932.79
F,909,S30,1506,12,0.021,1.07,0.028,38.21428571,22.94811947,49,1555,3.08,2361.04,57.84,7.56,318.35,159.175,24340176
F,909,M,1506,8,0.017,1.023,0.028,36.53571429,22.94811947,65,1571,2.29,2360.17,57.59,6.71,293.59,146.795,29045550.63
F,980,S10,1508,7,0.023,0.763,0.026,29.34615385,24.33786233,37,1545,3.05,2365.49,58.05,6.83,293.23,146.615,22248015.13
F,980,S15,1508,4,0.02,0.731,0.027,27.07407407,23.61991192,45,1553,3.15,2370.3,57.93,6.88,293.91,146.955,21743552
F,980,S20,1508,13,0.024,0.736,0.028,26.28571429,22.94811947,58,1566,2.89,2368.34,58,6.93,290.89,145.445,23852215.93
F,980,S25,1508,8,0.018,0.753,0.03,25.1,21.72572514,37,1545,2.77,2368.98,58.13,6.76,291.56,145.78,24281617.39
F,980,S30,1508,5,0.015,0.762,0.024,31.75,25.93359266,34,1542,2.69,2369.18,57.78,6.41,283.72,141.86,23711176.19
F,980,M,1508,15,0.035,0.745,0.019,39.21052632,31.21470086,195,1703,2.59,2372.42,57.88,7.8,277.8,138.9,30007907.03
F,980,S05,1508,7,0.028,0.735,0.03,24.5,21.72572514,53,1561,3.09,2377.42,58.24,7.13,241.76,120.88,23040200.43
F,980,S10,1508,8,0.03,0.76,0.033,23.03030303,20.1434254,45,1553,2.53,2380.23,58.16,6.7,225.03,112.515,26474178.74
F,909,S15,1506,5,0.032,1.018,0.036,28.27777778,18.79974161,50,1556,2.4,2378.17,58.02,6.61,219.41,109.705,27509481.48
F,909,S20,1506,6,0.028,1.02,0.04,25.5,17.29210593,19,1525,2.6,2375.95,57.93,6.73,215.28,107.64,25830231.81
F,909,S25,1506,13,0.022,1.07,0.028,38.21428571,22.94811947,39,1545,2.84,2379.63,58.03,7.43,210.1,105.05,26147441.47
F,909,S29,1506,10,0.021,0.982,0.025,39.28,25.10710746,192,1698,2.61,2379.36,57.96,7.15,208.77,104.385,27376314.48
F,909,S35,1506,7,0.034,1.034,0.032,32.3125,20.64126415,52,1558,2.62,2377.61,57.87,6.93,206.94,103.47,26413250.63
F,909,M,1506,3,0.022,1.035,0.025,41.4,25.10710746,89,1595,2.27,2299.37,57.48,6.93,278.19,139.095,29482582.92
F,909,S10,1506,3,0.022,1.074,0.027,39.77777778,23.61991192,186,1692,3.1,2291.31,57.99,7.66,280.87,140.435,23779363.01
F,909,S15,1506,3,0.026,1.047,0.019,55.10526316,31.21470086,39,1545,2.94,2290.78,57.8,7.38,275.6,137.8,24151366.29
F,909,S20,1506,7,0.032,1.07,0.029,36.89655172,22.31802259,49,1555,2.55,2293.64,58,6.83,267.36,133.68,25802100.8
F,909,M,1506,10,0.025,1.05,0.011,95.45454545,48.15942887,79,1585,2.28,2291.34,57.68,6.47,264.02,132.01,27309154.89
F,909,S05,1506,7,0.035,1.042,0.028,37.21428571,22.94811947,43,1549,3.17,2293,58.08,7.62,265.14,132.57,23149896.53
F,909,S10,1506,10,0.023,1.11,0.027,41.11111111,23.61991192,59,1565,3.27,2290.99,58.03,7.58,259.61,129.805,22304574.2
F,909,S19,1506,8,0.03,1.076,0.028,38.42857143,22.94811947,60,1566,2.92,2294.83,57.87,7.31,257.49,128.745,24128722.83
F,909,S25,1506,8,0.027,1.052,0.021,50.0952381,28.83191546,44,1550,2.89,2293.19,57.89,7.18,255.1,127.55,23928525.13
F,909,M,1506,14,0.023,1.07,0.026,41.15384615,24.33786233,69,1575,2.29,2290.93,57.5,6.87,271.6,135.8,28865718
F,980,S05,1508,6,0.019,0.744,0.026,28.61538462,24.33786233,55,1563,3.01,2291.57,58.05,7.04,271.88,135.94,22510678.33
F,909,S15,1506,14,0.025,1.064,0.028,38,22.94811947,43,1549,3.32,2290.64,57.98,7.57,271.15,135.575,21936327.76
F,909,S20,1506,14,0.037,1.008,0.028,36,22.94811947,19,1525,3.17,2291.37,57.9,7.54,271.3,135.65,22890569.45
F,909,S25,1506,12,0.024,1.052,0.033,31.87878788,20.1434254,29,1535,3.24,2291.11,58.01,7.34,271.78,135.89,21799487.37
F,909,S30,1506,5,0.021,1.035,0.034,30.44117647,19.67192734,53,1559,3.13,2289.02,57.79,7.48,271.49,135.745,22975032.69
F,976,M,1510,8,0.024,0.994,0.026,38.23076923,24.33786233,78,1588,2.33,2288.84,57.6,6.08,271.23,135.615,25084900.53
F,909,S05,1506,9,0.019,1.027,0.036,28.52777778,18.79974161,36,1542,2.78,2290.24,57.97,6.99,272.18,136.09,24185922.99
F,980,S09,1508,12,0.02,0.768,0.025,30.72,25.10710746,20,1528,2.95,2285.15,58.07,7.09,272.82,136.41,23066846.34
F,980,S20,1508,5,0.018,0.752,0.025,30.08,25.10710746,50,1558,3.12,2287.44,57.77,7.3,268.2,134.1,22478496.92
F,976,M,1510,10,0.028,1.013,0.012,84.41666667,44.94691449,84,1594,2.41,2289.56,57.52,6.73,262.61,131.305,26853403.72
F,980,S05,1508,8,0.032,0.742,0.027,27.48148148,23.61991192,55,1563,2.69,2294.14,57.72,6.84,258.19,129.095,24500391.79
F,980,S10,1508,5,0.021,0.752,0.026,28.92307692,24.33786233,46,1554,2.7,2297.38,57.95,6.64,251.01,125.505,23729382.76
F,980,S20,1508,12,0.018,0.7,0.032,21.875,20.64126415,31,1539,2.35,2294.08,57.9,6.27,251.41,125.705,25707362.86
F,980,S24,1508,14,0.021,0.75,0.03,25,21.72572514,58,1566,3.16,2293.44,58.04,7.83,245.48,122.74,23867742.99
F,980,M,1508,11,0.025,0.758,0.021,36.0952381,28.83191546,67,1575,2.25,2329.81,57.56,6.85,293.35,146.675,29790503.87
F,980,S05,1508,5,0.031,0.751,0.032,23.46875,20.64126415,42,1550,2.99,2332.61,57.79,6.95,318.34,159.17,22772202.64
F,980,S10,1508,7,0.02,0.746,0.028,26.64285714,22.94811947,64,1572,2.29,2335.34,57.98,6.39,296.42,148.21,27369368.96
F,980,S15,1508,7,0.022,0.781,0.034,22.97058824,19.67192734,42,1550,2.79,2334.75,57.85,6.18,300.97,150.485,21720706.45
F,980,S20,1508,9,0.02,0.752,0.027,27.85185185,23.61991192,50,1558,3.07,2338.54,57.6,7.36,318.02,159.01,23546888.76
F,980,S25,1508,10,0.028,0.786,0.031,25.35483871,21.1678094,54,1562,2.64,2339.02,58.05,7.39,314.29,157.145,27499432.86
F,980,S05,1508,7,0.034,0.752,0.029,25.93103448,22.31802259,62,1570,2.31,2341.11,58.11,6.56,298.3,149.15,27923057.45
F,909,M,1506,2,0.027,1.045,0.023,45.43478261,26.82423957,70,1576,2.33,2338.4,57.63,6.6,281.5,140.75,27819934.76
F,980,S05,1508,5,0.017,0.73,0.027,27.03703704,23.61991192,53,1561,2.69,2338.13,57.83,6.6,264.37,132.185,24094038.51
F,980,S10,1508,6,0.023,0.715,0.034,21.02941176,19.67192734,56,1564,2.53,2336.53,58.08,6.28,265.41,132.705,24359017.9
F,980,S15,1508,5,0.026,0.737,0.032,23.03125,20.64126415,66,1574,3.03,2340.29,58.14,6.82,263.7,131.85,22123850.42
F,980,S20,1508,4,0.013,0.733,0.023,31.86956522,26.82423957,51,1559,2.99,2339.03,58.14,7.06,259.5,129.75,23196293.5
F,980,S30,1508,2,0.024,0.745,0.028,26.60714286,22.94811947,47,1555,2.53,2340.66,57.89,6.65,237.94,118.97,25839776.21
F,980,S05,1508,8,0.02,0.69,0.031,22.25806452,21.1678094,48,1556,2.76,2336.6,57.96,6.4,234.45,117.225,22756452.17
F,980,S15,1508,5,0.024,0.737,0.029,25.4137931,22.31802259,47,1555,2.93,2337.08,58.07,7.04,230.98,115.49,23584567.04
F,980,S25,1508,5,0.022,0.744,0.031,24,21.1678094,195,1703,2.72,2340.38,58.21,6.66,229.76,114.88,24068054.91
F,980,M,1508,3,0.022,0.726,0.032,22.6875,20.64126415,82,1590,2.3,2339.18,57.3,6.55,237.64,118.82,27978626.87
F,980,S05,1508,5,0.035,0.751,0.032,23.46875,20.64126415,52,1560,2.82,2346.72,58.13,7.05,234.68,117.34,24640560
F,980,S10,1508,2,0.017,0.72,0.025,28.8,25.10710746,44,1552,2.73,2348.24,57.93,6.8,237.17,118.585,24566203.08
F,980,S15,1508,4,0.019,0.729,0.028,26.03571429,22.94811947,48,1556,2.7,2348.53,58.09,6.84,235.08,117.54,24988359.2
F,980,S25,1508,4,0.024,0.74,0.028,26.42857143,22.94811947,37,1545,2.59,2344.15,57.92,6.78,233.94,116.97,25772978.92
F,980,M,1508,5,0.033,0.78,0.021,37.14285714,28.83191546,82,1590,2.23,2340.8,57.66,6.67,248.04,124.02,29405906.37
F,980,S05,1508,10,0.025,0.741,0.025,29.64,25.10710746,50,1558,2.86,2345.96,58.01,7.02,246.81,123.405,24184714.91
F,980,S09,1508,7,0.023,0.734,0.028,26.21428571,22.94811947,53,1561,2.9,2338.57,58.24,6.72,245.79,122.895,22759930.92
F,980,S25,1508,8,0.023,0.75,0.031,24.19354839,21.1678094,51,1559,2.85,2342.64,57.96,6.83,244.21,122.105,23579288.08
F,980,S30,1508,6,0.027,0.773,0.026,29.73076923,24.33786233,55,1563,2.94,2344.45,58.03,7.22,246.67,123.335,24181327.14
F,980,M,1508,5,0.028,0.732,0.028,26.14285714,22.94811947,78,1586,2.3,2340.78,57.69,6.53,248.66,124.33,27912274.9
F,980,S05,1508,8,0.025,0.96,0.02,48,29.96988564,44,1552,2.93,2348.96,58.01,6.87,244.27,122.135,23132045
F,980,S15,1508,8,0.025,0.747,0.026,28.73076923,24.33786233,38,1546,2.44,2349.51,57.97,6.53,251.24,125.62,26408877.57
F,980,S20,1508,8,0.033,0.764,0.035,21.82857143,19.22466134,42,1550,2.84,2352.11,57.99,6.94,250.82,125.41,24140599.39
F,980,S30,1508,2,0.028,0.773,0.027,28.62962963,23.61991192,195,1703,3,2350.69,58.17,7.07,246.52,123.26,23267129.62
F,909,M,1506,7,0.022,1.048,0.027,38.81481481,23.61991192,87,1593,2.23,2345.12,57.58,6.7,251.42,125.71,29592680.18
F,980,S05,1508,7,0.03,0.733,0.035,20.94285714,19.22466134,36,1544,3.02,2349.64,57.96,7.16,248.64,124.32,23396812.61
F,980,S10,1508,3,0.027,0.75,0.028,26.78571429,22.94811947,50,1558,2.93,2349.76,57.94,7.08,250,125,23847257.12
