grade,grade_s,seq_no,l_temp,dd,p,mn,s,mn_s,mn_s_t,super_heat,tt,cs,mcwf,mould_level,mcwd_temp,sczfr,m_factor,heat_ext
F,980,S20,1508,10,0.012,0.737,0.02,36.85,29.96988564,37,1545,2.44,2243.04,59.09,7.07,231.05,115.525,27297061.38
F,980,S25,1508,10,0.023,0.77,0.027,28.51851852,23.61991192,47,1555,2.88,2245.47,58.57,7.22,275.14,137.57,23642927.88
F,980,S30,1508,10,0.013,0.724,0.023,31.47826087,26.82423957,46,1554,2.88,2243.2,59.12,7.59,273.34,136.67,24829420
F,980,M,1508,6,0.022,0.742,0.021,35.33333333,28.83191546,48,1556,2.27,2229.37,58.53,7.07,217.05,108.525,29162516.64
F,980,S4,1508,7,0.025,0.74,0.03,24.66666667,21.72572514,44,1552,2.88,2233.43,58.85,7.9,273.56,136.78,25730974.79
F,980,S14,1508,13,0.018,0.8,0.029,27.5862069,22.31802259,45,1553,2.88,2235.88,58.84,7.68,273.86,136.93,25041856
F,980,M,1508,11,0.027,0.725,0.019,38.15789474,31.21470086,55,1563,2.31,2239.89,58.6,7.12,219.45,109.725,28996394.18
F,980,S5,1508,11,0.015,0.745,0.019,39.21052632,31.21470086,45,1553,2.72,2241.29,59.07,7.38,258.7,129.35,25540817.96
F,980,S10,1508,8,0.043,0.728,0.032,22.75,20.64126415,37,1545,2.31,2239.67,59.14,6.78,218.84,109.42,27609022.91
F,980,S15,1508,6,0.02,0.774,0.024,32.25,25.93359266,42,1550,3.15,2235.06,58.94,7.84,299.64,149.82,23363827.2
F,980,S25,1508,7,0.014,0.74,0.026,28.46153846,24.33786233,47,1555,3.03,2237.22,58.9,7.66,289.04,144.52,23754403.25
F,980,M,1508,12,0.021,0.742,0.02,37.1,29.96988564,66,1574,2.21,2235.3,58.48,7.29,211.06,105.53,30968513.76
F,980,S5,1508,9,0.031,0.842,0.021,40.0952381,28.83191546,40,1548,3.09,2238.96,59.01,7.9,291.92,145.96,24041648.16
F,980,S10,1508,8,0.029,0.733,0.023,31.86956522,26.82423957,48,1556,2.83,2238.73,58.86,7.67,270.15,135.075,25483550.61
F,980,S15,1508,6,0.021,0.755,0.018,41.94444444,32.58285073,57,1565,2.72,2239.5,58.89,7.33,258.91,129.455,25347517.28
F,980,S20,1508,10,0.022,0.77,0.028,27.5,22.94811947,50,1558,2.66,2235.54,58.88,7,253.56,126.78,24708600
